OrganizationId,Name,INN,LegalAddress,ActualAddress,EmployeeId,FirstName,LastName,Patronymic,DateOfBirth,PassportSeries,PassportNumber
1,Организация 1,1234567890,Юридический адрес 1,Фактический адрес 1,1,Ксения,Мельникова,Васильевна,07/08/2003,12345678,123456
1,Организация 1,1234567890,Юридический адрес 1,Фактический адрес 1,5,София,Иванова,Ивановна,11/01/1975,13945125,864352
1,Организация 1,1234567890,Юридический адрес 1,Фактический адрес 1,7,Тимофей,Кузнецов,Сергеевич,07/08/1991,54236541,462356
1,Организация 1,1234567890,Юридический адрес 1,Фактический адрес 1,8,Мария,Кнутаева,Николаевна,12/12/1975,76531689,654312
1,Организация 1,1234567890,Юридический адрес 1,Фактический адрес 1,9,Иван,Лутохин,Дмитреевич,05/11/2002,34653127,564312
2,Организация 2,0987654321,Юридический адрес 2,Фактический адрес 2,2,Максим,Пименов,Евгеньевич,12/11/1962,42156478,164352
2,Организация 2,0987654321,Юридический адрес 2,Фактический адрес 2,3,Елизавета,Миронова,Елизавета,08/26/1994,86541235,956431
2,Организация 2,0987654321,Юридический адрес 2,Фактический адрес 2,4,Валерий,Васильев,Валентинович,03/02/1986,84569721,154356
2,Организация 2,0987654321,Юридический адрес 2,Фактический адрес 2,6,Игорь,Девин,Владимирович,01/30/1986,63541235,124553
3,Организация 3,1234554321,Юридический адрес 3,Фактический адрес 3,,,,,,,
